OrderDate,CustomerID,Segment,State,Region,ProductID,Category,SubCategory,Sales,Profit,ShippingCost,OrderPriority
2011/2/18,DL-13315,Consumer,Illinois,Central,OFF-AR-10003631,Office Supplies,Art,54.208,8.8088,4.11,Low
2011/2/19,AB-10015,Consumer,Texas,Central,OFF-ST-10000321,Office Supplies,Storage,12.624,-2.5248,0.97,Low
2011/2/19,TB-21595,Consumer,Texas,Central,FUR-FU-10002396,Furniture,Furnishings,25.16,-11.322,1.39,High
2011/2/21,LC-16930,Corporate,Indiana,Central,TEC-AC-10001284,Technology,Accessories,62.31,22.4316,3.97,Medium
2011/2/21,LC-16930,Corporate,Indiana,Central,FUR-FU-10000221,Furniture,Furnishings,20.32,6.9088,0.83,Medium
2011/2/21,SR-20740,Home Office,California,West,OFF-PA-10003363,Office Supplies,Paper,12.96,6.2208,1.14,High
2011/2/22,TM-21010,Consumer,Illinois,Central,OFF-BI-10004094,Office Supplies,Binders,8.85,-13.7175,0.7,Medium
2011/2/23,SA-20830,Consumer,California,West,OFF-PA-10001800,Office Supplies,Paper,19.44,9.3312,5.01,High
2011/2/24,MG-17875,Home Office,Texas,Central,OFF-LA-10004425,Office Supplies,Labels,6.936,2.3409,0.5,Medium
2011/2/24,MG-17875,Home Office,Texas,Central,OFF-BI-10000320,Office Supplies,Binders,4.428,-6.8634,0.23,Medium
2011/2/25,JH-15430,Consumer,Oregon,West,OFF-PA-10000174,Office Supplies,Paper,32.896,11.1024,2.37,High
2011/2/25,JH-15430,Consumer,Oregon,West,OFF-PA-10000069,Office Supplies,Paper,22.776,7.6869,1.97,High
2011/2/28,JS-16030,Consumer,Ohio,East,OFF-AR-10003560,Office Supplies,Art,19.456,3.4048,3.38,Medium
2011/3/1,DB-13060,Consumer,Washington,West,FUR-CH-10004063,Furniture,Chairs,457.568,51.4764,47.89,Medium
2011/3/1,GW-14605,Consumer,Texas,Central,FUR-TA-10001866,Furniture,Tables,376.509,-43.0296,32.7,Medium
2011/3/1,GW-14605,Consumer,Texas,Central,OFF-ST-10003692,Office Supplies,Storage,137.352,8.5845,8.49,Medium
2011/3/1,SC-20380,Consumer,Texas,Central,FUR-CH-10001270,Furniture,Chairs,362.25,0,25.22,Medium
2011/3/1,SC-20380,Consumer,Texas,Central,OFF-ST-10001469,Office Supplies,Storage,129.552,-22.6716,8,Medium
2011/3/1,SC-20380,Consumer,Texas,Central,FUR-FU-10001095,Furniture,Furnishings,63.552,-34.9536,7.38,Medium
2011/3/1,SC-20380,Consumer,Texas,Central,OFF-FA-10004395,Office Supplies,Fasteners,18.84,-3.5325,2.05,Medium
2011/3/1,HR-14770,Home Office,New York,East,TEC-PH-10003655,Technology,Phones,5.94,1.6038,0.42,Medium
2011/3/1,VF-21715,Home Office,Illinois,Central,FUR-CH-10000863,Furniture,Chairs,634.116,-172.1172,70.05,High
2011/3/1,VF-21715,Home Office,Illinois,Central,OFF-PA-10003036,Office Supplies,Paper,17.472,5.6784,1.94,High
2011/3/2,NH-18610,Corporate,Pennsylvania,East,TEC-AC-10004353,Technology,Accessories,151.2,32.13,9.21,High
2011/3/2,NH-18610,Corporate,Pennsylvania,East,OFF-PA-10000327,Office Supplies,Paper,3.424,1.07,0.41,High
2011/3/2,KN-16705,Home Office,New York,East,OFF-PA-10000587,Office Supplies,Paper,36.4,17.472,2.18,Medium
2011/3/2,KN-16705,Home Office,New York,East,OFF-EN-10001990,Office Supplies,Envelopes,11.36,5.3392,0.94,Medium
2011/3/3,AJ-10945,Consumer,North Carolina,South,OFF-AR-10003560,Office Supplies,Art,19.456,3.4048,1.05,Medium
2011/3/3,EJ-14155,Consumer,California,West,FUR-TA-10002958,Furniture,Tables,626.352,-23.4882,32.55,Medium
2011/3/3,SC-20020,Consumer,Texas,Central,OFF-AP-10002534,Office Supplies,Appliances,176.772,-459.6072,10.65,Medium
2011/3/3,JS-15595,Corporate,Ohio,East,FUR-BO-10001972,Furniture,Bookcases,302.45,-199.617,34.51,Medium
2011/3/3,JS-15595,Corporate,Ohio,East,OFF-ST-10002486,Office Supplies,Storage,44.672,-10.0512,1.94,Medium
2011/3/3,JS-15595,Corporate,Ohio,East,OFF-LA-10000305,Office Supplies,Labels,15.12,4.914,1.37,Medium
2011/3/3,AP-10720,Home Office,New York,East,OFF-BI-10004593,Office Supplies,Binders,125.76,40.872,22.16,High
2011/3/3,AP-10720,Home Office,New York,East,OFF-BI-10003429,Office Supplies,Binders,25.32,9.1785,2.48,High
2011/3/3,AP-10720,Home Office,New York,East,TEC-PH-10004700,Technology,Phones,9.99,4.5954,0.99,High
2011/3/4,CL-12565,Consumer,South Carolina,South,OFF-ST-10001370,Office Supplies,Storage,354.9,17.745,74.5,High
2011/3/4,SC-20095,Consumer,Florida,South,OFF-AR-10001374,Office Supplies,Art,15.552,2.3328,1.31,Medium
2011/3/5,AB-10150,Consumer,New York,East,TEC-AC-10002001,Technology,Accessories,479.97,177.5889,55.01,Medium
2011/3/5,AB-10150,Consumer,New York,East,OFF-PA-10001878,Office Supplies,Paper,97.82,45.9754,10.13,Medium
2011/3/5,AB-10150,Consumer,New York,East,OFF-AR-10000588,Office Supplies,Art,59.52,15.4752,8.02,Medium
2011/3/5,AB-10150,Consumer,New York,East,OFF-BI-10001617,Office Supplies,Binders,49.632,16.7508,7.52,Medium
2011/3/5,AB-10150,Consumer,New York,East,OFF-SU-10000381,Office Supplies,Supplies,18.62,5.3998,1.91,Medium
2011/3/7,AB-10015,Consumer,Washington,West,FUR-CH-10004477,Furniture,Chairs,48.712,5.4801,11.13,High
2011/3/7,AB-10015,Consumer,Washington,West,OFF-AR-10001427,Office Supplies,Art,17.94,4.6644,4.29,High
2011/3/7,AB-10015,Consumer,Washington,West,OFF-ST-10002344,Office Supplies,Storage,242.94,4.8588,1.28,High
2011/3/7,CM-12715,Corporate,Washington,West,FUR-CH-10004495,Furniture,Chairs,481.568,54.1764,42.74,Medium
2011/3/7,CM-12715,Corporate,Washington,West,FUR-CH-10002780,Furniture,Chairs,436.704,21.8352,38.45,Medium
2011/3/7,CM-12715,Corporate,Washington,West,OFF-ST-10000934,Office Supplies,Storage,204.9,0,10.65,Medium
2011/3/7,CM-12715,Corporate,Washington,West,OFF-AR-10000390,Office Supplies,Art,20.65,9.499,0.52,Medium
2011/3/7,NP-18685,Home Office,Washington,West,OFF-BI-10004224,Office Supplies,Binders,107.648,33.64,6.44,Medium
2011/3/10,KT-16480,Consumer,Colorado,West,OFF-ST-10000078,Office Supplies,Storage,636.408,-15.9102,80.79,Low
2011/3/10,KT-16480,Consumer,Colorado,West,OFF-AR-10001044,Office Supplies,Art,83.168,9.3564,15.56,Low
2011/3/10,SW-20275,Consumer,Michigan,Central,OFF-PA-10002259,Office Supplies,Paper,22.38,10.7424,1.48,Medium
2011/3/11,CK-12205,Consumer,Ohio,East,OFF-FA-10001561,Office Supplies,Fasteners,10.464,1.7004,1.11,Medium
2011/3/11,CK-12205,Consumer,Ohio,East,FUR-FU-10003981,Furniture,Furnishings,8.32,2.288,0.91,Medium
2011/3/11,KA-16525,Consumer,New York,East,OFF-PA-10002137,Office Supplies,Paper,108.92,49.014,12.24,High
2011/3/11,RB-19435,Consumer,California,West,OFF-AR-10001770,Office Supplies,Art,7.98,2.0748,1.04,High
2011/3/11,FM-14215,Corporate,Kentucky,South,TEC-PH-10000984,Technology,Phones,587.97,164.6316,95,High
2011/3/11,FM-14215,Corporate,Kentucky,South,OFF-AP-10002578,Office Supplies,Appliances,146.76,38.1576,7,High
2011/3/11,FM-14215,Corporate,Kentucky,South,TEC-AC-10000710,Technology,Accessories,32.96,14.1728,4.88,High
2011/3/11,FM-14215,Corporate,Kentucky,South,OFF-PA-10000213,Office Supplies,Paper,14.94,7.0218,1.95,High
2011/3/14,JF-15295,Consumer,Utah,West,TEC-AC-10004877,Technology,Accessories,82.8,6.624,4.54,Medium
2011/3/14,JF-15295,Consumer,Utah,West,OFF-BI-10003007,Office Supplies,Binders,62.048,20.1656,3.92,Medium
2011/3/14,JF-15295,Consumer,Utah,West,OFF-ST-10000736,Office Supplies,Storage,80.98,3.2392,3.07,Medium
2011/3/14,JF-15295,Consumer,Utah,West,OFF-BI-10001617,Office Supplies,Binders,33.088,11.1672,2.61,Medium
2011/3/14,JF-15295,Consumer,Utah,West,OFF-ST-10003221,Office Supplies,Storage,21.36,5.7672,1.96,Medium
2011/3/14,DK-13225,Corporate,California,West,OFF-PA-10001204,Office Supplies,Paper,10.56,4.752,1.23,High
2011/3/14,DK-13225,Corporate,California,West,OFF-AR-10003723,Office Supplies,Art,3.38,1.2506,0.4,High
2011/3/14,CK-12325,Home Office,Virginia,South,FUR-CH-10003379,Furniture,Chairs,1139.92,284.98,43.56,Medium
2011/3/14,NF-18475,Home Office,Florida,South,OFF-PA-10000176,Office Supplies,Paper,91.056,31.8696,3.22,Medium
2011/3/14,RB-19465,Home Office,Illinois,Central,TEC-MA-10003626,Technology,Machines,574.91,156.047,63.85,Medium
2011/3/14,RB-19465,Home Office,Illinois,Central,OFF-PA-10001215,Office Supplies,Paper,8.448,2.64,1.5,Medium
2011/3/15,AS-10240,Consumer,Florida,South,OFF-PA-10002120,Office Supplies,Paper,131.904,47.8152,12.44,High
2011/3/15,AS-10240,Consumer,Florida,South,OFF-ST-10001490,Office Supplies,Storage,142.776,17.847,12.03,High
2011/3/15,AS-10240,Consumer,Florida,South,OFF-BI-10001543,Office Supplies,Binders,43.188,-31.6712,5.01,High
2011/3/15,AS-10240,Consumer,Florida,South,FUR-FU-10001756,Furniture,Furnishings,45.696,5.1408,4.57,High
2011/3/15,AS-10240,Consumer,Florida,South,OFF-BI-10000773,Office Supplies,Binders,7.218,-5.5338,0.58,High
2011/3/16,KN-16705,Home Office,North Carolina,South,TEC-PH-10002415,Technology,Phones,471.92,29.495,60.17,Medium
2011/3/17,AZ-10750,Consumer,Texas,Central,OFF-PA-10002365,Office Supplies,Paper,15.552,5.4432,1.33,High
2011/3/17,AZ-10750,Consumer,Texas,Central,OFF-AR-10003732,Office Supplies,Art,4.448,0.3336,1.13,High
2011/3/17,AZ-10750,Consumer,Texas,Central,OFF-PA-10002195,Office Supplies,Paper,5.184,1.8792,0.8,High
2011/3/17,BN-11515,Consumer,Minnesota,Central,OFF-AP-10001154,Office Supplies,Appliances,93.78,36.5742,4.1,Medium
2011/3/17,BN-11515,Consumer,Minnesota,Central,OFF-BI-10001758,Office Supplies,Binders,53.4,25.098,3.92,Medium
2011/3/17,BN-11515,Consumer,Minnesota,Central,OFF-PA-10000466,Office Supplies,Paper,47.18,23.59,3.51,Medium
2011/3/17,BN-11515,Consumer,Minnesota,Central,OFF-BI-10000136,Office Supplies,Binders,35.88,17.2224,3.06,Medium
2011/3/17,BN-11515,Consumer,Minnesota,Central,OFF-AR-10003829,Office Supplies,Art,19.68,5.7072,0.9,Medium
2011/3/17,CP-12340,Corporate,New York,East,FUR-TA-10003473,Furniture,Tables,1579.746,-447.5947,101.14,Medium
2011/3/17,CP-12340,Corporate,New York,East,FUR-TA-10001950,Furniture,Tables,1071.576,-553.6476,80.94,Medium
2011/3/17,CP-12340,Corporate,New York,East,FUR-TA-10004175,Furniture,Tables,613.908,-122.7816,42.57,Medium
2011/3/17,CP-12340,Corporate,New York,East,OFF-PA-10000919,Office Supplies,Paper,155.04,75.9696,3.7,Medium
2011/3/17,CP-12340,Corporate,New York,East,OFF-PA-10002960,Office Supplies,Paper,34.86,16.3842,3.61,Medium
2011/3/17,MH-17440,Corporate,Mississippi,South,OFF-BI-10000309,Office Supplies,Binders,30.44,14.9156,2.11,Medium
2011/3/17,MH-17440,Corporate,Mississippi,South,OFF-AP-10003971,Office Supplies,Appliances,32.67,8.4942,1.81,Medium
2011/3/17,MH-17440,Corporate,Mississippi,South,OFF-PA-10003349,Office Supplies,Paper,12.96,6.3504,1.04,Medium
2011/3/17,MH-17440,Corporate,Mississippi,South,OFF-PA-10003063,Office Supplies,Paper,16,7.68,0.83,Medium
2011/3/17,MH-17440,Corporate,Mississippi,South,OFF-BI-10000605,Office Supplies,Binders,11.43,5.3721,0.74,Medium
2011/3/17,QJ-19255,Corporate,Pennsylvania,East,OFF-PA-10003641,Office Supplies,Paper,126.624,41.1528,27.1,Critical
2011/3/18,EK-13795,Home Office,California,West,FUR-BO-10004218,Furniture,Bookcases,1198.33,70.49,218.62,Critical
2011/3/18,SC-20050,Home Office,California,West,OFF-ST-10000078,Office Supplies,Storage,1856.19,334.1142,93.9,Medium
2011/3/18,SC-20050,Home Office,California,West,TEC-MA-10001148,Technology,Machines,1279.968,415.9896,89.41,Medium
2011/3/18,SC-20050,Home Office,California,West,FUR-FU-10004597,Furniture,Furnishings,111,14.43,3.6,Medium
2011/3/18,SM-20320,Home Office,Florida,South,TEC-MA-10003626,Technology,Machines,821.3,-16.426,49.15,Medium
2011/3/18,SM-20320,Home Office,Florida,South,TEC-MA-10002412,Technology,Machines,22638.48,-1811.0784,24.29,Medium
2011/3/18,SM-20320,Home Office,Florida,South,FUR-FU-10001986,Furniture,Furnishings,122.352,15.294,8.1,Medium
2011/3/18,SM-20320,Home Office,Florida,South,FUR-FU-10004270,Furniture,Furnishings,30.768,8.0766,2.37,Medium
2011/3/18,SM-20320,Home Office,Florida,South,OFF-FA-10003112,Office Supplies,Fasteners,18.936,5.9175,1.8,Medium
2011/3/18,SM-20320,Home Office,Florida,South,OFF-PA-10001804,Office Supplies,Paper,21.376,7.4816,1.33,Medium
2011/3/18,SM-20320,Home Office,Florida,South,OFF-AR-10003183,Office Supplies,Art,8.016,1.002,0.22,Medium
